iter	CatBoostEvalMetricCustom	Logloss
0	0.6573327851	0.6701567776
1	0.6984411824	0.648035296
2	0.7143395328	0.6266495011
3	0.7222230687	0.6063923659
4	0.7211782079	0.5878425078
5	0.7266613525	0.5698173099
6	0.7260965768	0.5535677977
7	0.7287605262	0.5383486131
8	0.7328337993	0.5236856153
9	0.7349017828	0.5105771622
10	0.7361177143	0.4976671097
11	0.7371815375	0.4862560941
12	0.7381089274	0.4747334645
13	0.7395861664	0.4643109938
14	0.7385978047	0.4551270703
15	0.7387020941	0.4455990481
16	0.7386095348	0.437315395
17	0.7379864158	0.4300751353
18	0.738695726	0.4222790513
19	0.7389864981	0.4157075983
20	0.7394012703	0.4090606127
21	0.7408317683	0.4026835124
22	0.7418828851	0.3968388855
23	0.7414563888	0.3911647828
24	0.7430435343	0.3854123658
25	0.7433067371	0.3799779181
26	0.7450948953	0.3747602778
27	0.7453193336	0.3700171556
28	0.7459760299	0.3655919685
29	0.7474529967	0.3616935022
30	0.7478763978	0.3580324467
31	0.7481065126	0.3545992484
32	0.7488330341	0.351186217
33	0.7492896878	0.3478300943
34	0.748878657	0.3444369995
35	0.7486989981	0.3415236813
36	0.7489848406	0.338750825
37	0.7489397992	0.3363756587
38	0.7495058156	0.3337117763
39	0.7504107637	0.3309972356
40	0.7503232822	0.3288483086
41	0.7508124541	0.3265663069
42	0.7512626605	0.3242996942
43	0.7519537012	0.3222132484
44	0.7536262815	0.3202339946
45	0.7541534845	0.3182441873
46	0.7541296379	0.3161838609
47	0.7547635002	0.3143376815
48	0.7555622448	0.3125509206
49	0.7553441703	0.311011621
50	0.7560266224	0.3094164486
51	0.7554784505	0.3081538194
52	0.75629289	0.306853506
53	0.7564339026	0.3055994155
54	0.7562756791	0.3043835666
55	0.7564649733	0.3032768214
56	0.7569693719	0.30215511
57	0.7570419102	0.3010867711
58	0.7578096868	0.2998931093
59	0.7573516941	0.2987866819
60	0.7578045737	0.2977246184
61	0.7586639085	0.296609558
62	0.7592691579	0.2955224888
63	0.759549333	0.2945492823
64	0.7600706206	0.2936746799
65	0.7599924205	0.2928311684
66	0.7599559304	0.292044581
67	0.7604837832	0.2914653338
68	0.7609888068	0.2906755793
69	0.7616096157	0.2898688497
70	0.7614000044	0.2890369813
71	0.7614567413	0.2882963876
72	0.7625428859	0.2875462888
73	0.7626428662	0.2869453752
74	0.7629706036	0.2862598211
75	0.7634415303	0.2855842476
76	0.7636979989	0.2848917746
77	0.7639401544	0.2843491936
78	0.7642790761	0.2837963379
79	0.7639785253	0.2833193555
80	0.7650785429	0.2827174826
81	0.765197493	0.2821208773
82	0.7654535799	0.2815434738
83	0.766020636	0.2809777607
84	0.7660328775	0.2804533081
85	0.7660106541	0.2800151981
86	0.7662054139	0.2795327662
87	0.7664579848	0.2790712122
88	0.7663856368	0.2786436783
89	0.766654608	0.2782035973
90	0.7666978816	0.2777702482
91	0.7665651663	0.2773931945
92	0.7666053549	0.2770237716
93	0.7673750303	0.2766732092
94	0.7676510596	0.2763274235
95	0.7678776507	0.2760160213
96	0.768110247	0.2756611473
97	0.7681269934	0.2753607741
98	0.7680214211	0.2749944742
99	0.7691142578	0.2746297682
100	0.7695031511	0.2742625493
