iter	Passed	Remaining
0	142	213880
1	228	170997
2	317	158389
3	404	151420
4	490	146622
5	576	143454
6	661	141185
7	759	141605
8	848	140545
9	938	139873
10	1028	139170
11	1116	138406
12	1204	137754
13	1306	138710
14	1408	139471
15	1500	139199
16	1595	139174
17	1686	138837
18	1783	139056
19	1875	138809
20	1971	138828
21	2061	138496
22	2167	139169
23	2256	138772
24	2348	138589
25	2436	138122
26	2525	137787
27	2614	137441
28	2706	137299
29	2800	137235
30	2893	137113
31	2985	136946
32	3077	136794
33	3166	136547
34	3259	136439
35	3348	136175
36	3439	136009
37	3529	135802
38	3622	135716
39	3714	135583
40	3810	135615
41	3904	135552
42	3996	135426
43	4088	135279
44	4179	135133
45	4271	135010
46	4362	134865
47	4455	134773
48	4544	134569
49	4635	134424
50	4723	134203
51	4812	134000
52	4906	133944
53	4996	133805
54	5087	133665
55	5184	133691
56	5272	133475
57	5358	133226
58	5447	133045
59	5536	132869
60	5638	133010
61	5726	132826
62	5817	132698
63	5912	132653
64	5999	132449
65	6087	132270
66	6176	132093
67	6264	131918
68	6366	132035
69	6454	131853
70	6543	131697
71	6631	131529
72	6720	131374
73	6808	131204
74	6897	131052
75	7004	131246
76	7094	131118
77	7186	131020
78	7274	130847
79	7368	130785
80	7455	130607
81	7553	130620
82	7656	130708
83	7745	130563
84	7832	130383
85	7932	130418
86	8024	130320
87	8113	130192
88	8208	130133
89	8299	130029
90	8387	129870
91	8475	129707
92	8563	129564
93	8650	129388
94	8740	129262
95	8835	129226
96	8930	129172
97	9030	129186
98	9119	129060
99	9208	128914
100	9309	128953
101	9397	128801
102	9487	128685
103	9579	128582
104	9669	128472
105	9761	128379
106	9853	128279
107	9944	128177
108	10039	128116
109	10133	128046
110	10224	127946
111	10315	127841
112	10406	127727
113	10499	127652
114	10590	127544
115	10681	127439
116	10769	127300
117	10861	127206
118	10951	127089
119	11043	126995
120	11148	127058
121	11250	127076
122	11338	126933
123	11424	126774
124	11514	126658
125	11601	126513
126	11690	126390
